aandacht (de)                   ,attention
aanmelden (zich (voor))         ,to sign up (for)
af en toe                       ,now and then
afhangen van                    ,to depend on
anderhalf                       ,one and a half
bewegen                         ,to move
beweging (de)                   ,movement
bewegingsapp (de)               ,movement app
binnenlopen                     ,to drop in
biologisch                      ,organic
blijken uit                     ,to appear from
brie (de)                       ,brie
calorie (de)                    ,calorie
chips (de)                      ,crisps
dom                             ,stupid
drinkyoghurt (de)               ,drinking yoghurt
elders                          ,elsewhere
en zo                           ,and so on
frisdrank (de)                  ,soft drink
geheugen (het)                  ,memory
gemeenschappelijk               ,common
gemiddeld                       ,average
geneeskundestudent (de)         ,medical student
geslacht (het)                  ,sex
gillen                          ,to scream
googelen                        ,to google
houden (zich (aan))             ,to stick to
inclusief                       ,including
intensief                       ,intensive
jezelf                          ,yourself
kauwen (op)                     ,to chew (on)
kenmerk (het)                   ,characteristic
kennis (de)                     ,knowledge
lengte (de)                     ,length
levensstijl (de)                ,lifestyle
lichaam (het)                   ,body
lichaamsbeweging (de)           ,physical exercise
liefhebber (de)                 ,lover
lijstje (het)                   ,list
luidruchtig                     ,noisy
maandelijks                     ,monthly
matig                           ,moderate
natuurlijk                      ,natural
niveau (het)                    ,level
noemen                          ,to mention
onderwerp (het)                 ,subject
opleveren                       ,to yield
opzoeken                        ,to look up
pakken                          ,to grab
pizza (de)                      ,pizza
plek (de)                       ,place
product (het)                   ,product
pubquiz (de)                    ,pub quiz
regel (de)                      ,rule
richtlijn (de)                  ,guideline
ronde (de)                      ,round
rosbief (de)                    ,roast beef
rucola (de)                     ,rocket
schap (het)                     ,shelf
schelen                         ,to matter
smaken (naar)                   ,to taste (like)
sportliefhebber (de)            ,sports lover
steeds                          ,still
stevig                          ,solid
stijl (de)                      ,style
strategie (de)                  ,strategy
team (het)                      ,team
tegenwoordig                    ,nowadays
ten minste                      ,at least
tentamenweek (de)               ,exam week
truffelmayonaise (de)           ,truffle mayonnaise
twijfelen (aan / over / tussen) ,to doubt (about)
verbieden                       ,to forbid
verbranden                      ,to burn
verwennen                       ,to spoil
verzoek (het)                   ,request
voeding (de)                    ,nutrition
voedingsdeskundige (de)         ,nutritionist
volwassene (de)                 ,adult
voorverpakt                     ,pre-packaged
zacht                           ,soft
