Dutch                         ,English
actief                        ,active
adviseren                     ,to advise
balans (de)                   ,balance
beoordeling (de)              ,assessment
beoordelingsgesprek (het)     ,appraisal interview
bereikbaar                    ,accessible
beslissing (de)               ,decision
betogen                       ,to argue
bewijs (het)                  ,evidence
brein (het)                   ,brain
chronisch                     ,chronic
collectief                    ,collective
combineren (met)              ,to combine (with)
computerscherm (het)          ,computer screen
concentreren (zich (op))      ,to concentrate (on)
connectie (de)                ,connection
constant                      ,constant
controle (de)                 ,control
daardoor                      ,as a result
dienst (de)                   ,service
dienstverlenend               ,service-oriented
doceren                       ,to teach
doorbloeding (de)             ,blood circulation
drijven                       ,to float
druk (de)                     ,pressure
empathie (de)                 ,empathy
fit                           ,fit
frequentie (de)               ,frequency
functioneren                  ,to function
fysiek                        ,physical
gedreven                      ,driven
geklaag (het)                 ,complaining
gerust                        ,at ease
handelen                      ,to act
hanteren                      ,to handle
hart (het)                    ,heart
hartfrequentie (de)           ,heart rate
hersenen / hersens (de)       ,brain
hopeloos                      ,hopeless
hulp (de)                     ,help
ideaal (het)                  ,ideal
ingewikkeld                   ,complicated
innovatief                    ,innovative
inzetten (zich)(voor)         ,to commit (to)
klagen (over)                 ,to complain (about)
kortom                        ,in short
levensreddend                 ,life-saving
lezing (de)                   ,lecture
medewerker (de)               ,employee
media (de)                    ,media
mentaal                       ,mental
misgaan                       ,to go wrong
multitasken                   ,to multitask
negativiteit (de)             ,negativity
neuropsychologie (de)         ,neuropsychology
neurosysteem (het)            ,neurosystem
onbereikbaar                  ,unreachable
onderuit                      ,down
onderuitgaan                  ,to collapse
onszelf                       ,ourselves
onvoldoende                   ,insufficient
opkomen in                    ,to come up in
optimaal                      ,optimal
periode (de)                  ,period
pieken                        ,to peak
presteren                     ,to perform
prikkelen                     ,to stimulate
privétijd (de)                ,private time
proefschrift (het)            ,dissertation
recht (het) (op)              ,right (to)
redden                        ,to save
reguleren                     ,to regulate
regulier                      ,regular
samengaan                     ,to go together
scherm (het)                  ,screen
spanning (de)                 ,tension
spierspanning (de)            ,muscle tension
spoed (de)                    ,emergency
spoedeisende hulp (de)        ,emergency care
stress (de)                   ,stress
stresshormoon (het)           ,stress hormone
stressloos                    ,stress-free
stressreductie (de)           ,stress reduction
tegengaan                     ,to counteract
tegenstelling (de) (in / tot) ,contrast (in / to)
testen                        ,to test
tonen                         ,to show
tussendoor                    ,in between
uitdagen                      ,to challenge
uitdaging (de)                ,challenge
veiligheid (de)               ,safety
verlaten                      ,to leave
verlenen                      ,to provide
voldoende                     ,sufficient
waken voor                    ,to guard against
werkdruk (de)                 ,work pressure
zolang                        ,as long as
