aankijken (tegen), to look at (against)
aanleren, to learn (to)
aanpassen (zich (aan)), to adapt (to)
aansluiten bij / op, to connect with
aantal (het), number
aantrekken, to attract
accepteren, to accept
achteraf, afterwards
afdeling (de), department
afdelingshoofd (het), head of department
afschrikken, to scare off
afwijken (van), to differ (from)
afzien (van), to refrain (from)
andere (de), other
bedrijfsjurist (de), company lawyer 
beeld (het), image
begeleiden, to guide
behandelen, to treat
beurs (de), fair
bevestigen, to confirm
bieryoga (de), beer yoga
boos (op / over), angry (at / about)
bouw (de), construction
community (de), community
compliment (het), compliment
coördinator (de), coordinator
dagelijks, daily
dezelfde, the same
domineren, to dominate
durven, to dare
duwen, to push
eigenaar (de), owner 
eis (de), demand
eisen, to demand
ervaring (de), experience
fenomeen (het), phenomenon
folder (de), brochure
frustreren, to frustrate
functie (de), function
gedoe (het), hassle
gelden (voor), to apply (to)
geven om, to care about
groeien, to grow
hak (de), heel
hierdoor, because of this
hokje (het), pigeonhole
hoogleraar (de), professor
hr-manager (de), HR manager
huidinstituut (het), skin institute
huilen (om), to cry (about)
huurappartement (het), rental apartment
ingaan tegen, to go against
inmiddels, meanwhile
instituut (het), institute
inzicht (het), insight
jurist (de), lawyer
keuze / keus (de), choice
knap, good-looking
kosten (de), costs
label (het), label
lenen (aan / van), to lend (to / from)
maatschappij (de), society
management (het), management
mannelijk, masculine
mannenbaan (de), man's job
materialistisch, materialistic
mede, co-
mede-eigenaar (de), co-owner
minderheid (de), minority
nature (van), nature (of)
niks, nothing
ondernemen, to undertake
ondernemend, entrepreneurial
ondernemer (de), entrepreneur
ondersteuning (de), support
onderwijs (het), education
onterecht, unjust
ontstaan (uit), to arise (from)
onzin (de), nonsense
opleiding (de), education
opnieuw, again
opzeggen, to cancel
opzien tegen, to dread
overleg (het) (in / met), consultation (in / with)
passen (bij), to fit (with)
passen (tussen), to fit (between)
personeel (het), staff
personeelsmanagement (het), personnel management
perspectief (het), perspective
plaats (de) (in / van), place (in / of)
plakken (op), to stick (on)
rondlopen, to walk around
salaris (het), salary
schoen (de), shoe
schoonheid (de), beauty
schoonheidsproduct (het), beauty product
schoonheidsspecialist (de), beauty specialist
sector (de), sector
sekse (de), sex
serieus, serious
specialist (de), specialist
stellen, to put
stereotiep (het), stereotype
stereotypering (de), stereotyping
storen, to disturb
strategisch, strategic
talent (het), talent
techniek (de), technique
technisch, technical
terug, back
tutten, to doll up
uitmaken, to make up
uitoefenen, to exercise
uniek, unique
vak (het), profession
vakantiegeld (het), holiday pay
vakbeurs (de), trade fair
vakgebied (het), field
vastzitten, to be stuck
verbazing (de), amazement
verdienen, to earn
vertegenwoordiger (de), representative
verzorging (de), care
vrouwelijk, feminine
weg (van), away (from)
wegjagen, to chase away
werkervaring (de), work experience
werknemer (de), employee
worstelen met, to struggle with
zelfvertrouwen (het), self-confidence
zichzelf, oneself
zonnebril (de), sunglasses
zorgzaam, caring
