app (de)                   ,application
automaat (de)              ,vending machine
avondje uit                ,night out
beledigen                  ,to insult
belediging (de)            ,insult
cocktailbar (de)           ,cocktail bar
concluderen                ,to conclude
contant                    ,cash
crosscultureel             ,cross-cultural
date (de)                  ,date
dergelijk                  ,such
digitaal                   ,digital
dubbel                     ,double
dwingen                    ,to force
eer (de)                   ,honour
eeuwigheid (de)            ,eternity
efficiëntie (de)           ,efficiency
focussen (op)              ,to focus (on)
gebaar (het)               ,gesture
gevolg (het)               ,consequence
gewoonte (de)              ,habit
individualistisch          ,individualistic
indruk (de)                ,impression
introduceren               ,to introduce
introductiegroep (de)      ,introduction group
invloed (de) (hebben (op)) ,influence (to have (on))
koffieautomaat (de)        ,coffee machine
lief                       ,sweet
lenen (zich (voor))        ,to lend (oneself (for))
massaal                    ,massive
masterstudent (de)         ,master student
men                        ,one
minimumbedrag (het)        ,minimum amount
norm (de)                  ,norm
omarmen                    ,to embrace
ondanks (dat)              ,despite (the fact that)
ongemakkelijk              ,uncomfortable
onlangs                    ,recently
ontvangen                  ,to receive
opeens                     ,suddenly
opmerking (de)             ,remark
ouderwets                  ,old-fashioned
overigens                  ,moreover
pinnen                     ,to pay by card
praktisch                  ,practical
raar                       ,strange
razendsnel                 ,very fast
redelijk                   ,reasonable
reden (de)                 ,reason
rekenen                    ,to calculate
rijk                       ,rich
slechts                    ,only
splitsen                   ,to split
stappen                    ,to go out
studiegenoot (de)          ,fellow student
telkens                    ,each time
uitgaan                    ,to go out
uitgave (de)               ,expenditure
uitvinding (de)            ,invention
uitzetten                  ,to turn off
verdwijnen                 ,to disappear
verontwaardigd             ,indignant
veroveren                  ,to conquer
verrekenen                 ,to settle
volledig                   ,complete
volleybalteam (het)        ,volleyball team
voorstellen                ,to suggest
zowel (als)                ,as well as
