aanleiding (de)        ,cause
aanmoedingen           ,encourage
aanraden               ,recommend
aarde (de)             ,earth / soil
apart                  ,separate
bewonderen             ,admire
bewoner (de)           ,inhabitant
brandnettel (de)       ,nettle / urzica
buitenlands            ,foreign
delen (met / op / van) ,share
duurzaam               ,sustainable
echter                 ,however
gedrag (het)           ,behaviour
zich gedragen          ,behave
grens (de)             ,border
om me heen             ,around me
hestellen              ,recover
inrichten              ,arrange
inslijten              ,wear in
koelvak (het)          ,refrigerated section
kweken                 ,grow
kwestie (de)           ,issue
melden                 ,report
milieubewust           ,environmentally conscious
moeite (de)            ,effort
omgeving (de)          ,environment
ondertussen            ,meanwhile
onkruid (het)          ,weed
ontwinkelen            ,develop
opgave (de)            ,task
oplossen               ,solve
overtuigen (van)       ,convince (of)
scheiden               ,separate
spijt(hebben van)      ,regret
struik (de)            ,bush
tiener (de)            ,teenager
toestand (de)          ,condition
trowens                ,by the way
uiteindelijk           ,eventually
uitputten              ,exhaust
vak (het)              ,compartment
voedsel (het)          ,food
weggooien              ,throw away
weigeren               ,refuse
wijk (de)              ,neighbourhood
wildplukken            ,forage
zak (de)               ,bag
