aanbreken             ,to break
aanspreken            ,to address
afkoelen              ,to cool down
afvallen              ,to disappoint
avondlucht (de)       ,evening air
avontuur (het)        ,adventure
balen (van)           ,to be fed up with
beleven               ,to experience
benauwd               ,stuffy                     ,
bericht (het)         ,message
bestemming (de)       ,destination
blik (de)             ,glance
bloeien               ,to bloom
boeken                ,to book
broeierig             ,sultry
comfortabel           ,comfortable
dekbed (het)          ,duvet
dichtdoen             ,to close
dik                   ,thick
doorwerken            ,to continue working
druipen               ,to drip
duisternis (de)       ,darkness
eend (de)             ,duck
eenmaal               ,once
eilandengroep (de)    ,group of islands
eindelijk             ,finally
eindigen (met)        ,to end (with)
enorm                 ,enormous
ermee                 ,with it
ervaren               ,to experience
exotisch              ,exotic
flauw                 ,faint
flauwvallen           ,to faint
fris                  ,fresh
genieten (van)        ,to enjoy
golf (de)             ,wave
groepsreis (de)       ,group trip
halfleeg              ,half empty
halfvol               ,half full
heet                  ,hot
heide (de)            ,heath
hittegolf (de)        ,heatwave
hoe … hoe …           ,the … the …
hoog                  ,high
ijskoud               ,ice cold
kamperen              ,to camp
kano (de)             ,canoe
kanotocht (de)        ,canoe trip
kantoorkoelkast (de)  ,office fridge
klamboe (de)          ,mosquito net
kleuren               ,to colour
knus                  ,cosy
koel                  ,cool
koelkast (de)         ,fridge
krap                  ,tight
kruipen               ,to crawl
leeg                  ,empty
loom                  ,lazy
meevallen             ,to be better than expected
mug (de)              ,mosquito
nauwelijks            ,hardly
ontbreken (aan)       ,to be lacking (in)
ontdekken             ,to discover
ontspannen            ,to relax
ontspannen (zich)     ,to relax
ooit                  ,ever
openzetten            ,to leave open
opvangen              ,to catch
organiseren           ,to organise
paradijs (het)        ,paradise
regen (de)            ,rain
reiziger (de)         ,traveller
ruiken                ,to smell
schuilen (voor)       ,to take shelter (from)
sowieso               ,anyway
spannend              ,exciting
spiegel (de)          ,mirror
stap (de)             ,step
stemming (de)         ,mood
strandvogel (de)      ,beach bird
stromen               ,to flow
super                 ,super
synthetisch           ,synthetic
tegenslag (de)        ,setback
tegenvallen           ,to be worse than expected
tent (de)             ,tent
tocht (de)            ,trip
trekken (door)        ,to travel (through)
uitgeput              ,exhausted
vanuit                ,from
vanwege               ,because of
vanzelfsprekend       ,of course
variatie (de)         ,variation
verandering (de)      ,change
verrassen             ,to surprise
verwachten            ,to expect
vogelparadijs (het)   ,bird paradise
volhouden             ,to persevere
voorbij               ,past
voorbijkruipen        ,to crawl past
vullen                ,to fill
waaien                ,to blow
waarbij               ,whereby
waarderen             ,to appreciate
wachten (op)          ,to wait (for)
warmte (de)           ,heat
weerbericht (het)     ,weather forecast
wereldreiziger (de)   ,world traveller
wildkamperen          ,to wild camp
yurt (de)             ,yurt
zandplaat (de)        ,sandbank
zandstuifgebied (het) ,sand drift area
zee (de)              ,sea
zeehond (de)          ,seal
zelden                ,rarely
zwemkleding (de)      ,swimwear
zwerven               ,to roam
zwoel                 ,sultry
