adopteren                     ,to adopt
beer (de)                     ,bear
beest (het)                   ,animal
benieuwd (naar)               ,curious (about)
bereiken                      ,to reach
bescheiden                    ,modest
beschilderen                  ,to paint
bewaren                       ,to keep
bezit (het)                   ,possession
creatief                      ,creative
daarvan                       ,of that
dankbaar (voor)               ,grateful (for)
dierbaar                      ,dear
doelpunt (het)                ,goal
droom (de)                    ,dream
eigenschap (de)               ,characteristic
enthousiast                   ,enthusiastic
ergeren (zich (aan))          ,to be annoyed (by)
ernstig                       ,serious
fluisteren                    ,to whisper
fotograaf (de)                ,photographer
geboorte (de)                 ,birth
geboorteland (het)            ,country of birth
geduldig                      ,patient
gevaarlijk                    ,dangerous
gevoel (het)                  ,feeling
gitaar (de)                   ,guitar
gouden                        ,golden
grappig                       ,funny
hangen (aan)                  ,to hang (on)
held (de)                     ,hero
herinnering (de) (aan)        ,memory (of)
horloge (het)                 ,watch
indrukwekkend                 ,impressive
krant (de)                    ,newspaper
lawaai (het)                  ,noise
leeftijd (de)                 ,age
medisch                       ,medical
meekrijgen                    ,to get
meemaken                      ,to experience
merken (van)                  ,to notice
mezelf                        ,myself
muzikaal                      ,musical
onderzoek (het) (doen (naar)) ,research (into)
oogziekte (de)                ,eye disease
oplossing (de)                ,solution
orkest (het)                  ,orchestra
paard (het)                   ,horse
persoonlijk                   ,personal
piano (de)                    ,piano
platteland (het)              ,countryside
precies                       ,exactly
presentator (de)              ,presenter
project (het)                 ,project
publiceren                    ,to publish
rammelaar (de)                ,rattle
rapper (de)                   ,rapper
realiseren (zich)             ,to realize
rechten                       ,law
roots (de)                    ,roots
schijf (de)                   ,disk
schilderen                    ,to paint
schreeuwen                    ,to shout
show (de)                     ,show
sommige                       ,some
spullen (de)                  ,stuff
sterk                         ,strong
stilstaan (bij)               ,to stop (at)
stimuleren                    ,to stimulate
sturen (aan / naar)           ,to send (to)
tekenen                       ,to draw
tekening (de)                 ,drawing
telefoon (de)                 ,telephone
tijdschrift (het)             ,magazine
trots (op)                    ,proud (of)
uitkiezen                     ,to choose
uitkomen                      ,to come out
uitverkopen                   ,to sell out
universitair                  ,university
vernoemen (naar)              ,to name after
verwarren                     ,to confuse
verwerken (in)                ,to process (in)
vierdejaarsstudent (de)       ,fourth-year student
vliegen                       ,to fly
vlinder (de)                  ,butterfly
vooral                        ,especially
voorlopig                     ,for the time being
voornemen (het)               ,intention
vrolijk                       ,happy
wereld (de)                   ,world
wetenschappelijk              ,scientific
zelfreflectie (de)            ,self-reflection
zelfs                         ,even
zicht (het) (op / hebben)     ,sight (of)
ziekenhuis (het)              ,hospital
ziekte (de)                   ,disease
zingen                        ,to sing
zorgen voor                   ,to take care of
