aanraken                     ,to touch
afstand (de)                 ,distance
afstandelijk                 ,distant
afsteken                     ,to set off
afval (het)                  ,waste
afvragen (zich)              ,to wonder
allerleukste                 ,most fun
alternatief (het)            ,alternative
arrangement (het)            ,arrangement
authentiek                   ,authentic
bachelorstudent (de)         ,bachelor student
band (de)                    ,band
bedenken                     ,to think of
bedrijfskunde (de)           ,business administration
beginsel (het)               ,principle
behoorlijk                   ,quite
besluiten                    ,to decide
bloemenkrans (de)            ,flower garland
borrel (de)                  ,drink
brood (het)                  ,bread
corruptie (de)               ,corruption
cultureel                    ,cultural
demon (de)                   ,demon
diner (het)                  ,dinner
dj (de)                      ,DJ
doorbrengen                  ,to spend
draad (de)                   ,thread
draaien om                   ,to revolve around
economie (de)                ,economy
ei (het)                     ,egg
envelop (de)                 ,envelope
erg                          ,very
ervan                        ,of it
extravagant                  ,extravagant
faculteit (de)               ,faculty
familielid (het)             ,family member
familieomstandigheden (de)   ,family circumstances
financiën (de)               ,finances
gelegenheid (de)             ,opportunity
gelijk hebben                ,to be right
gesprek (het)                ,conversation
goede (het)                  ,good
goudvis (de)                 ,goldfish
grootouder (de)              ,grandparent
haven (de)                   ,harbour
heimwee (de) (naar)          ,homesickness (for)
hondenuitlaatservice (de)    ,dog walking service
hoofdkussen (het)            ,pillow
hoofdstad (de)               ,capital
huisgenoot (de)              ,housemate
informeren (naar)            ,to inquire about
jongere (de)                 ,youngster
kaars (de)                   ,candle
kalender (de)                ,calendar
kerst (de)                   ,Christmas
kinderliedje (het)           ,children’s song
klimaat (het)                ,climate
knapperig                    ,crispy
knuffelen (met)              ,to cuddle (with)
kom (de)                     ,bowl
Koran (de)                   ,Koran
kroeg (de)                   ,pub
kussen                       ,to kiss
kussen (het)                 ,cushion
kwade (het)                  ,evil
langskomen                   ,to come by
legende (de)                 ,legend
levendig                     ,lively
levensgeluk (het)            ,happiness
lichtjesfeest (het)          ,festival of lights
lied (het)                   ,song
luchthaven (de)              ,airport
luid                         ,loud
markeren                     ,to mark
meiboom (de)                 ,maypole
midzomerdag (de)             ,midsummer day
monster (het)                ,sample
munt (de)                    ,mint
nationaal                    ,national
Nieuwjaar (het)              ,New Year
olielamp (de)                ,oil lamp
omkeren                      ,to turn around
omstandigheid (de)           ,circumstance
onbekende (de)               ,stranger
opkrijgen                    ,to finish
optreden                     ,performance
optreden (het)               ,performance
opzeggen                     ,to quit
overvloed (de)               ,abundance
overwinnen                   ,to overcome
pekelen                      ,to pickle
plaatselijk                  ,local
plaatsvinden                 ,to take place
rijgen                       ,to string
ritueel                      ,ritual
rugzak (de)                  ,backpack
ruimte (de)                  ,space
saai                         ,boring
samenkomen                   ,to come together
samenleving (de)             ,society
schoon                       ,clean
service (de)                 ,service
snikheet                     ,boiling hot
sociaal                      ,social
specialiteit (de)            ,speciality
stadsstrand (het)            ,city beach
stoep (de)                   ,pavement
strand (het)                 ,beach
studentenvereniging (de)     ,student association
tegelijkertijd               ,at the same time
terechtkunnen                ,to be able to go
thuiskomen                   ,to come home
toerist (de)                 ,tourist
traditie (de)                ,tradition
traditioneel                 ,traditional
twintigen (met z’n)          ,with twenty of us
uitgebreid                   ,extensive
uitkijken (naar)             ,to look forward to
uitlaten                     ,to walk
uitleggen                    ,to explain
uitschelden                  ,to insult
uitwisseling (de)            ,exchange
uitwisselingsprogramma (het) ,exchange programme
verderop                     ,further on
verplichten                  ,to oblige
verplichting (de)            ,obligation
versieren                    ,to decorate
verven                       ,to paint
verzorgen                    ,to take care of
videogesprek (het)           ,video call
voorhoofd (het)              ,forehead
voornamelijk                 ,mainly
voortkomen uit               ,to result from
vrijmaken                    ,to make free
vuurwerk (het)               ,fireworks
waarin                       ,in which
zomaar                       ,just like that
zon (de)                     ,sun
zonnekalender (de)           ,solar calendar
